Label,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,tot_C_cnts,tot_C_err,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Peak_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Peak_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Peak_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Peak_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,Angle_C4,Roundness_C4,Variance_C4,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Peak_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,Angle_C5,Roundness_C5,Variance_C5,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Peak_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,Angle_C6,Roundness_C6,Variance_C6,N_Src_Pixels_C2,N_Sky_Pixels_C2,N_Src_Pixels_C3,N_Sky_Pixels_C3,N_Src_Pixels_C4,N_Sky_Pixels_C4,N_Src_Pixels_C5,N_Sky_Pixels_C5,N_Src_Pixels_C6,N_Sky_Pixels_C6
WASP_3a001_out.FIT,0,59739.70927,2459739.709,2459739.709,2459739.711,2459739.712,1.054768979,71.42802588,20.04615484,3.5,14.54985,35.78709444,11.4623657,23.7658332,1.4,20,35,53,0.067764017,0.019919551,0.065253196,0.052992638,4.911026562,0.039569177,0.000312434,0.00027552,0.000326112,0.000313214,0.017141809,0.000298065,216.8903831,72.29795345,200.094302,169.1900833,286.4940585,132.7537055,2368567.415,2048.827518,1249.24313,2088.616544,18.57546113,35.66130326,160503.6438,1774.418114,726.8815795,1189,50.07570234,4663,9.760259432,15.70906792,302.0029758,0.999625979,25301.52127,977.5179736,1793.121889,18.57886152,35.70707264,46259.33407,638.6667527,301,47.23055316,10.97949819,18.17729485,17.25658815,0.991130587,2358.112968,1943.276818,1615.496596,18.56666379,35.73307546,145089.0678,714.1940855,1199,48.34413044,10.68986318,14.8870646,284.8199506,0.98540122,25216.95331,1876.811315,1808.940414,18.56752324,35.70343623,119199.9167,697.09588,746,49.1494577,16.02992262,17.69160442,85.70989275,0.902631589,10725.8547,1056.167992,1157.236903,18.57780749,35.80470499,1967864.189,1529.198056,12329,51.14512666,10.99756117,15.49861965,328.758829,0.985091535,3558060.113,1124.867909,975.0156523,18.57691962,35.83262003,90154.90801,674.786206,632,48.52309694,10.31708963,16.90592625,300.8101932,0.98575956,6816.174166,1774.418114,4628,1774.418114,4600,1774.418114,4610,1774.418114,4658,1774.418114,4611
WASP_3a002_out.FIT,0,59739.70935,2459739.709,2459739.709,2459739.711,2459739.712,1.054794362,71.42391017,20.04615484,3.5,14.55131611,35.78814722,13.34419058,26.19804664,1.4,20,35,53,0.066511647,0.019817911,0.06343954,0.0497392,5.18120207,0.036603022,0.00034182,0.000309766,0.000358535,0.000344541,0.020867094,0.000328771,194.5808963,63.97703946,176.9412067,144.3638618,248.295339,111.3329868,2364730.558,2178.04504,1250.587034,2087.616332,18.57544542,35.66141895,157282.1249,2156.193311,795.2249639,839,49.06706507,4518,13.29440616,16.8588942,58.23083324,0.955237403,15285.70682,979.263509,1791.419537,18.57884575,35.70726396,45953.32071,717.1210295,340,47.50841898,13.25573388,19.02571443,40.0020024,0.992515457,1289.942613,1944.570382,1614.386626,18.5666432,35.73329646,141068.1217,786.7798197,872,50.1769502,11.37192901,16.6920847,56.28214548,0.962976123,13591.40402,1878.188996,1808.437692,18.56750178,35.70356016,112046.6941,769.4954592,529,50.6615793,13.68731399,18.4798653,75.07342096,0.838144432,6216.916849,1057.495,1156.189757,18.57780242,35.8047724,1982162.486,1568.941966,8261,50.96673233,14.2249256,17.53986413,57.15439161,0.982787156,2124665.616,1125.793451,974.0182436,18.57692126,35.8326669,83499.93535,746.2526276,455,48.78511669,14.23083485,18.42182142,51.12206716,0.990958378,3856.290498,2156.193311,4573,2156.193311,4538,2156.193311,4521,2156.193311,4569,2156.193311,4542
WASP_3a003_out.FIT,0,59739.70943,2459739.709,2459739.709,2459739.712,2459739.712,1.054791459,71.42438075,20.04615484,3.5,14.55328417,35.78863889,13.27284794,24.13591665,1.4,20,35,53,0.065273798,0.019620062,0.063378186,0.048794649,5.140761931,0.038937746,0.000311775,0.00027734,0.000326938,0.000311613,0.018668986,0.000298607,209.3618952,70.74373218,193.8538836,156.5874775,275.3637529,130.3980539,2379528.131,2064.928564,1249.694272,2088.898063,18.57545989,35.66122705,155320.8387,1830.111152,729.5304953,1051,47.29976123,4607,11.6264168,16.00902024,355.7165502,0.97887067,20780.1834,977.3175917,1792.658775,18.57886673,35.7071017,45788.12315,646.0944255,305,44.66006165,13.42712886,17.5635115,4.916013598,0.986028264,1754.274465,1944.213505,1615.696799,18.56665189,35.73305792,141821.7694,721.2403518,967,47.39670692,12.06511065,14.85589083,340.9215438,0.988691368,19553.60008,1877.365537,1808.828732,18.56751721,35.70346185,110706.3626,700.6116883,527,48.98323302,17.45177735,18.71608382,272.9423704,0.948901905,7367.616599,1056.363722,1157.324376,18.57780877,35.80466161,1992030.918,1540.608508,10886,49.0974181,12.3635365,16.00128108,344.1339842,0.968434557,3169614.243,1125.305399,975.3530846,18.57691979,35.83254306,89180.95734,679.6859637,546,45.3972453,12.70311747,17.10886526,344.4604784,0.969087133,5622.648507,1830.111152,4542,1830.111152,4555,1830.111152,4652,1830.111152,4609,1830.111152,4574
WASP_3a004_out.FIT,0,59739.70951,2459739.71,2459739.709,2459739.712,2459739.712,1.054812756,71.42092822,20.04615484,3.5,14.55482472,35.78958056,13.22164721,22.61621006,1.4,20,35,53,0.064467667,0.019422174,0.061713686,0.048681404,5.266019281,0.037334488,0.000300608,0.000264208,0.00031323,0.000299649,0.018696264,0.000284358,214.4576116,73.5108521,197.0237775,162.4615851,281.6615843,131.2941261,2328800.736,1985.327815,1250.03349,2088.596665,18.57545529,35.66124298,150132.3504,1606.902518,688.2566281,1033,48.4669321,4521,12.41418759,15.01195706,1.700538858,0.981904117,24153.4862,978.0967552,1792.348544,18.57885652,35.70710415,44368.63681,602.446485,278,44.89734797,12.62068491,18.40847779,335.4088595,0.992803256,1705.774461,1944.059349,1615.583083,18.56665121,35.73307516,135365.0038,677.3271615,1039,47.98658918,11.77774986,14.16479415,338.4249012,0.998653967,23098.02876,1877.716444,1809.071947,18.5675106,35.70341526,108106.513,659.1535197,632,48.37585891,17.20075063,17.01396894,81.05221989,0.874313583,9016.261367,1056.758034,1157.401896,18.57780673,35.80459318,1957145.203,1510.872161,10911,49.03861607,12.56019316,15.79834035,346.9959869,0.984879072,3451330.322,1125.136467,974.9110537,18.57692628,35.8325528,83815.37958,634.5034543,506,45.44180791,12.75631712,16.37455311,330.6897203,0.985001285,6249.295577,1606.902518,4374,1606.902518,4474,1606.902518,4366,1606.902518,4480,1606.902518,4425
WASP_3a005_out.FIT,0,59739.70959,2459739.71,2459739.71,2459739.712,2459739.713,1.054850805,71.41476183,20.04615484,3.5,14.55612167,35.78997222,12.03297343,22.61539764,1.4,20,35,53,0.06350434,0.018233166,0.061731246,0.049254611,5.335770293,0.03610064,0.000300037,0.000263167,0.000313197,0.000299421,0.019110459,0.000282979,211.6549344,69.28374622,197.1005867,164.4994141,279.206807,127.5736555,2330791.976,1985.957888,1249.866045,2089.046362,18.57544753,35.66110144,148015.4066,1606.787074,687.8581099,976,48.57865169,4450,12.37533384,15.00393385,352.0275725,0.991888362,23443.21981,978.4509836,1793.118973,18.57884766,35.70695792,41736.7252,601.4135322,275,45.41697248,10.78491139,17.54909956,308.7890474,0.994665458,1506.152843,1944.092921,1616.000854,18.56664984,35.73297172,135517.0561,677.8273946,1085,47.89695603,9.75110246,14.06380221,323.5474372,0.990742507,23039.31708,1877.57226,1809.429707,18.56750835,35.7033074,109413.1495,658.6952555,645,47.58380974,16.38462952,17.17218278,86.47330184,0.898981742,9216.797836,1056.799855,1157.915047,18.57780302,35.80457124,1962913.744,1512.739343,11150,48.68661417,12.0222383,15.89760442,334.5449265,0.973344546,3480294.292,1125.446223,975.5952819,18.57691747,35.83252481,81211.30156,632.9460941,525,45.6195874,10.87962508,16.48084188,329.089744,0.984098044,5835.72201,1606.787074,4360,1606.787074,4435,1606.787074,4373,1606.787074,4445,1606.787074,4411
WASP_3b001_out.FIT,0,59739.71114,2459739.711,2459739.711,2459739.713,2459739.714,1.056627226,71.12951769,20.04615484,3.5,14.56737694,35.74035833,10.83693761,22.36060869,1.4,20,35,53,0.067605605,0.016822799,0.065146843,0.051698502,5.167732153,0.036559678,0.000304063,0.000263065,0.00031654,0.000303164,0.018135817,0.000284263,222.3408952,63.94920749,205.8088819,170.5299122,284.9462037,128.6122836,2328777.834,1987.03423,1249.986289,2088.108931,18.57545404,35.66130363,157438.4344,1570.78634,695.2355458,1213,53.53102679,4480,9.615642916,15.19084638,344.102791,0.997962516,29964.23915,978.4345478,1791.980348,18.57885231,35.70716532,38528.40567,601.6415919,350,53.28717837,10.71103108,15.86990943,37.4260802,0.995307398,2285.422264,1944.140952,1615.225334,18.56665035,35.733112,142433.4361,681.2994959,1460,52.24676464,8.984854929,14.22789114,307.4246326,0.993570695,30846.00361,1877.415302,1808.50508,18.56751362,35.70348138,114476.0839,664.2779647,827,53.93458361,14.50126685,17.62044228,88.19770733,0.893310367,12163.05483,1057.259671,1157.053293,18.57779949,35.80469319,1951203.423,1509.231691,13412,53.59254268,10.42223214,15.29534618,332.6270739,0.983388458,4256991.318,1125.712776,974.5246074,18.57691712,35.8326752,82136.48517,634.9156735,611,51.2935412,10.78659774,16.04832983,354.5546531,0.995652898,7219.954773,1570.78634,4586,1570.78634,4559,1570.78634,4479,1570.78634,4452,1570.78634,4490
WASP_3b002_out.FIT,0,59739.71122,2459739.711,2459739.711,2459739.713,2459739.714,1.056712296,71.11598585,20.04615484,3.5,14.56790694,35.74109167,11.2474992,22.27893148,1.4,20,35,53,0.065989182,0.019946168,0.063153735,0.049744914,5.195264199,0.036342066,0.000298473,0.000260896,0.000309553,0.000295923,0.017985286,0.000278836,221.0891074,76.45260297,204.0160911,168.1010908,288.8619228,130.3347741,2348801.884,1981.21152,1250.27861,2087.875961,18.57545689,35.66131013,154995.5149,1559.331989,688.7560216,1148,52.30052957,4532,10.67496603,15.12968002,331.524325,0.998299137,28533.59882,978.400289,1791.714231,18.57885466,35.70706807,45933.40272,599.6271495,334,49.00939808,9.300502966,17.15970018,329.836609,0.964583191,2208.740956,1944.211839,1615.011181,18.56665153,35.73322517,139524.1407,673.6895518,1223,50.466203,9.7549571,14.00102506,317.8945861,0.98480819,27866.00072,1877.719342,1808.772498,18.56751338,35.70352227,111304.1339,655.5619165,719,52.00131897,15.82470705,17.03401009,87.25782124,0.899430828,11275.78761,1057.149943,1156.738741,18.57779787,35.80451334,1969673.277,1512.385954,12303,51.39633068,11.33126168,15.41816043,328.5804016,0.969904741,4090619.745,1125.755875,974.1312226,18.57691344,35.83248163,82366.92939,628.2643196,597,48.98346925,10.59860036,15.87843537,322.8026182,0.988480173,6763.805453,1559.331989,4469,1559.331989,4601,1559.331989,4549,1559.331989,4524,1559.331989,4537
WASP_3b003_out.FIT,0,59739.71129,2459739.711,2459739.711,2459739.713,2459739.714,1.05674558,71.11069454,20.04615484,3.5,14.56901167,35.74156944,10.11261339,22.18014763,1.4,20,35,53,0.065519124,0.018357965,0.063082618,0.04868133,5.336235647,0.035233745,0.000295024,0.000256232,0.000307562,0.000292461,0.018679114,0.00027558,222.0807423,71.64589102,205.1056529,166.4540728,285.6792664,127.8529693,2358452.875,1978.914127,1249.809574,2088.31485,18.57546161,35.66133467,154523.7673,1545.534619,683.6129693,1309,49.32415692,4359,8.458405857,14.61565936,288.5473936,0.995546816,30617.54808,978.3809503,1792.769569,18.57885641,35.70708717,42515.8905,592.403779,333,47.42752796,10.75048401,16.57726972,315.1772074,0.998667863,1989.598018,1944.008644,1615.431208,18.56665441,35.73310693,139949.0304,672.1484533,1596,49.39284906,8.650593389,13.9656967,298.8135388,0.992234569,31043.48129,1877.547683,1809.269906,18.56751531,35.70340102,109482.8521,651.4151905,908,50.78948561,14.75849883,16.35235938,270.2298776,0.850373885,12636.95724,1057.073227,1157.209619,18.57780039,35.80464543,1986236.151,1516.327907,14743,50.08998647,8.865535473,15.12020803,328.5349522,0.979213582,4480764.708,1125.759417,974.6839048,18.57691401,35.83260499,80268.95101,624.3262504,694,47.44971098,9.192162778,15.52792926,330.4229049,0.976402243,6990.53305,1545.534619,4381,1545.534619,4419,1545.534619,4413,1545.534619,4434,1545.534619,4325
WASP_3b004_out.FIT,0,59739.71137,2459739.711,2459739.711,2459739.713,2459739.714,1.056818896,71.09904553,20.04615484,3.5,14.56970528,35.742775,13.38202959,23.62454977,1.4,20,35,53,0.066167045,0.017711646,0.062569071,0.048608983,5.357303671,0.035899725,0.000312995,0.000276154,0.000324935,0.000311284,0.020034344,0.000295209,211.3996164,64.1369277,192.5587885,156.1563835,267.4059967,121.6079479,2349535.992,2043.841124,1249.580327,2088.995696,18.57545602,35.66125195,155461.8527,1753.383655,722.8518236,941,49.01129032,4340,12.52053665,15.42628203,295.0811257,0.991586705,22618.96314,977.7933898,1792.354046,18.57885693,35.70710641,40889.9217,636.6123241,262,48.63562203,13.23590359,17.20088966,321.7676596,0.998502463,1493.054102,1943.600634,1615.884302,18.56665499,35.73307686,138351.744,708.4068471,1010,48.57390326,12.11016195,14.68859919,307.3071395,0.979564874,20508.81889,1876.908745,1809.895883,18.5675181,35.70335797,108914.3406,691.1747114,577,49.45490378,15.67225488,17.37769673,273.1236411,0.901117928,8407.266479,1056.731251,1157.587063,18.57780936,35.80451522,1979955.41,1532.625741,10349,50.11299177,13.16498902,16.09823236,318.541844,0.978337252,3243258.001,1125.302266,975.3229764,18.5769282,35.83243773,81424.57591,665.9631261,472,47.05062126,13.58833148,17.02720579,312.0716075,0.975828292,5077.463749,1753.383655,4413,1753.383655,4445,1753.383655,4313,1753.383655,4372,1753.383655,4346
WASP_3b005_out.FIT,0,59739.71146,2459739.711,2459739.711,2459739.714,2459739.714,1.056818032,71.09918281,20.04615484,3.5,14.5716125,35.74371944,12.7113279,23.29065284,1.4,20,35,53,0.064723632,0.016642784,0.062883656,0.048921327,5.407407624,0.035085374,0.000308735,0.00026964,0.000322493,0.00030733,0.020087205,0.000290113,209.6413694,61.72230728,194.9926151,159.1816798,269.1966205,120.9370638,2344907.287,2024.827398,1250.36611,2087.498222,18.57545415,35.66148145,151770.916,1704.171103,711.9941238,929,50.56040495,4445,12.12602538,15.53332523,74.04616618,0.998077172,22333.74907,978.6873061,1791.597205,18.57885529,35.70726969,38386.91962,621.1018151,256,47.55103864,14.23442945,15.43345758,284.902307,0.997043107,1440.727119,1944.645608,1614.598875,18.56664402,35.73324705,138732.3461,701.3766447,1070,49.09296482,11.0687974,14.53738436,285.0386668,0.991812599,21871.86401,1878.061948,1807.534981,18.56750635,35.70368486,109365.6619,680.6859034,596,49.00415225,12.82755597,17.38838285,82.5150108,0.87076074,8874.206053,1057.495078,1156.116242,18.57779985,35.80477453,1978939.11,1526.914504,10564,48.9344113,13.16336846,16.07141424,317.5906852,0.998535905,3304937.697,1125.978029,974.0406211,18.57691579,35.83265075,79483.24928,653.7798777,470,47.48874888,12.84779071,16.48314645,47.85133045,0.995029779,5303.545427,1704.171103,4477,1704.171103,4378,1704.171103,4335,1704.171103,4391,1704.171103,4444
